Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
Lu Y.-H.; Liu P.; Zhang X.; Zhang J.; Shen C.,"Lu, You-Hai (57210170539); Liu, Peixue (57207222122); Zhang, Xiaowan (57310475800); Zhang, Jun (58396328300); Shen, Caiyun (57211682087)",57210170539; 57207222122; 57310475800; 58396328300; 57211682087,Spatial-Temporal Differences in the Effect of Epidemic Risk Perception on Potential Travel Intention: A Macropsychology-Based Risk Perception Perspective,2022,SAGE Open,12,4,,,,,4,10.1177/21582440221141392,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145063927&doi=10.1177%2f21582440221141392&partnerID=40&md5=7e1461126f19933ec3bc5e505271c51a,"Most of the previous studies on the impact of risk perception on travel intention are based on an individual psychological perspective, and the understanding based on the perspective of macropsychology is insufficient. Analyzing the temporal and spatial characteristics of risk perception theory at the macropsychological and regional levels will expand the scope of risk perception theory, which may help to promote the orderly recovery of tourism activities under the normalization of epidemics at the regional level. This study uses Baidu big data, through a panel VAR analysis, to explore the impact of people’s epidemic risk perception on travelers intentions from a macropsychological level and to analyze the temporal and spatial differences of this impact. From a temporal perspective, this study found that the early stage of epidemic risk perception had a negative impact on travel intentions, and later, a compensatory effect on travelers intentions appeared. From the perspective of risks at different threat levels, the Wuhan epidemic with a high degree of threat had a greater impact, while foreign epidemics had less impact. From the perspective of spatial differences, this study indicated that the negative impact of attention to epidemics on attention to tourism basically shows a gradual decay from the core to secondary and then to peripheral areas. This research will reveal some new findings on the impact of perceived risk on behavior intention at the temporal and spatial levels, and will have certain reference value for regional tourism restoration and marketing under the influence of epidemics. © The Author(s) 2022.",COVID-19; distance decay; macropsychology; risk perception; travel intention,,"National Natural Science Foundation of China, NSFC, (42001145); Ministry of Education of the People's Republic of China, MOE, (20YJC790080); Nanjing University, NJU, (202101B036)",Article,Final,,Scopus,2-s2.0-85145063927
Isham E.A.; Lomayesva S.; Teng J.,"Isham, Eve A. (6506998644); Lomayesva, Sara (57212277623); Teng, Jiaxuan (57887516700)",6506998644; 57212277623; 57887516700,Time estimation and passage of time judgment predict eating behaviors during COVID-19 lockdown,2022,Frontiers in Psychology,13,,961092,,,,1,10.3389/fpsyg.2022.961092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137862954&doi=10.3389%2ffpsyg.2022.961092&partnerID=40&md5=3e3ccb84747b982cffefda9287606add,"Poor eating habits often lead to health concerns. While mental health conditions such as stress and anxiety have been linked as predictors for eating behaviors, cognitive factors may also contribute to eating practices during the early stages of the mandatory COVID-19 lockdown. In the current study, participants responded to a survey that asked them to judge the passing of time (PoTJ) and to produce short intervals (via a time production task) as an index of the internal clock speed. Additionally, they responded to questions about snacking frequency and the tendency to overeat during lockdown. We observed that those who judged time to pass slowly also reported a greater tendency to snack and overeat during the pandemic. Additional analysis also revealed that the effect of PoTJ on snacking is moderated by the internal clock speed such that those who felt time was passing by slowly, and in combination with a faster internal clock (as indexed by shorter duration production), had a greater tendency to snack. The results suggest that different aspects of temporal cognition play potential roles in influencing different types of eating behaviors. Our findings therefore have implications for eating disorders, along with the potential of time-based intervention or behavioral modification approaches. Copyright © 2022 Isham, Lomayesva and Teng.",eating behaviors; overeating; passage of time judgment; snacking; time perception,,"University of Arizona, UA",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85137862954
Dogramadjieva E.,"Dogramadjieva, Elka (57212592945)",57212592945,Travel Intentions And Preferences Amid the Covid-19 Pandemic: the Case of Bulgaria,2022,Transnational Marketing Journal,10,2,,403,423,20,4,10.33182/tmj.v10i2.2327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138582512&doi=10.33182%2ftmj.v10i2.2327&partnerID=40&md5=61c1e727a14acfea4b58b70817514cd0,"The paper deals with travel intentions and preferences of Bulgarian residents amid the pandemic as identified in a survey conducted online with 350 participants in April-May 2021. The analysis covers (1) intended frequency of different types of travel, (2) general travel preferences, and (3) specific preferences regarding the choice of accommodation. It also explores which demographic and social factors determine travel intentions and preferences during the pandemic. Both expected and unexpected findings are presented, with some wide-spread anticipations being challenged in a specific country context. Results show that people have become more restrained towards all types of travel, especially abroad and for business. However, in the case of Bulgaria the shift toward domestic tourism seems forced by external constraints rather than due to internal factors such as health risk perceptions of strong patriotic feelings. Of paramount importance for the travel choices of Bulgarian customers is the combination of economic and sanitary factors providing both financial and health safety. In contrast to most studies around the world, ‘pure’ health-related preferences associated with the level of COVID-19 contamination or vaccination are of relatively low significance. Age stands out as a major determinant of travel intentions and preferences while other socio-demographic factors are not clearly related to intended frequency of travel but do matter in terms of various travel preferences. © 2022 Transnational Press London",Choice of accommodation; Destination preferences; Intended frequency; Socio-demographic factors introduction introduction; Types of travel,,,Article,Final,,Scopus,2-s2.0-85138582512
Muiderman K.,"Muiderman, Karlijn (57218764783)",57218764783,Approaches to anticipatory governance in West Africa: How conceptions of the future have implications for climate action in the present,2022,Futures,141,,102982,,,,11,10.1016/j.futures.2022.102982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133738079&doi=10.1016%2fj.futures.2022.102982&partnerID=40&md5=75735a7fd010a85711ab47bec3c4a28a,"Methods and tools to anticipate futures are growing in prominence to guide decision-making under climate change. A research agenda into the steering effects of these processes is growing but has largely ignored how imagined futures impact present-day actions beyond the Global North. This paper presents a case study analysis of anticipatory governance in a highly climate-vulnerable area - West Africa. It examines processes of anticipation through an analytical framework that identifies four distinct approaches to anticipatory governance in terms of their conceptualization of the future, implications for actions in the present, and ultimate aims intended to be realized. The study finds two dominant approaches that appear in hybrid forms which are quite technocratic in character. These hybrids assess probable or plausible futures to inform and build capacities for strategic risk reduction. Many anticipation processes are participatory, but often focus on transferring expert-based knowledge to stakeholders or discussing adaptation options rather than opening up dialogue on what and whose futures to engage with. The paper argues that more plural and critical dialogue is needed in which stakeholders have agency to shape futures and address power imbalances, particularly in these contexts where anticipation relies on western funding and science. © 2022 The Authors",Anticipatory governance; Climate futures; Climate policy; Foresight; West Africa,West Africa; climate change; decision making; environmental policy; future prospect; governance approach,"African Monsoon Multidisciplinary Analysis, (AMMA-2050); DIFD; Fondation BNP Paribas; Consortium of International Agricultural Research Centers, CGIAR",Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85133738079
Sıcakyüz Ç.,"Sıcakyüz, Çiğdem (58099476800)",58099476800,Analyzing Healthcare and Wellness Products’ Quality Embedded in Online Customer Reviews: Assessment with a Hybrid Fuzzy LMAW and Fermatean Fuzzy WASPAS Method,2023,Sustainability (Switzerland),15,4,3428,,,,16,10.3390/su15043428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149299222&doi=10.3390%2fsu15043428&partnerID=40&md5=ac383fdfc81a88f8f6675931d311948f,"With the high impetus in global digitization, online shopping (OS) is anticipated to increase further in the near future. Contrary to this anticipation, however, recent studies have emphasized a certain amount of drop in a considerable number of online purchasing transactions in 2022. One of the reasons might be customer dissatisfaction. To analyze online customer reviews, manual sentiment analysis was conducted to detect which quality criteria cause the dissatisfaction of online shoppers. The quality parameters are categorized into product, delivery service, and aftersales service quality (SQ). These main quality criteria are then divided into sub-factors. Eight health category products, including personal care products, wellness products, and household cleaners, were ranked to the importance of the sub-quality parameters using the multi-criteria decision-making (MCDM) method. In this study, a new hybrid MCDM method was also proposed, which combines the triangular fuzzy logarithm methodology of additive weights (F-LMAW) and the Fermatean fuzzy weighted aggregated sum product assessment method (FF-WASPAS). The study reveals that the most important criteria were products’ performance, as well as their side effects, pay-back, and change possibility, while the products’ reasonable price was the least important criterion. Aftersales service was more significant than delivery service. Furthermore, moisturizing creams and medical pillows were the most popular products bought in OS compared with hair conditioners and washing liquids. The study’s multifold contributions and managerial implications were elaborately discussed. © 2023 by the author.",customer satisfaction; e-commerce; F-LMAW; FF-WASPAS; MCDM; online shopping; service quality; sustainable competitive advantage; word of mouth,assessment method; electronic commerce; fuzzy mathematics; service quality; spatiotemporal analysis; sustainability; World Wide Web,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85149299222
Fernandez Velasco P.; Perroy B.; Gurchani U.; Casati R.,"Fernandez Velasco, Pablo (57198497842); Perroy, Bastien (57226120953); Gurchani, Umer (57665520200); Casati, Roberto (35610141200)",57198497842; 57226120953; 57665520200; 35610141200,Experiencing a slow passage of time was an indicator of social and temporal disorientation during the Covid-19 pandemic,2022,Scientific Reports,12,1,22338,,,,7,10.1038/s41598-022-25194-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144636981&doi=10.1038%2fs41598-022-25194-2&partnerID=40&md5=c8f45c0b074bb26774b538afb890bc62,"Time dilation was experienced in most countries and across the several years of the Covid-19 crisis: the passage of time was deemed slower than before the pandemic, and the distance to the beginning of the pandemic seemed longer than it really was. An outstanding question is how these two aspects of time judgements relate to other temporal, social and affective disturbances. We developed and validated a 59-item questionnaire to explore these questions. 3306 participants completed the questionnaire in France in May and June 2021. Here, we analyse group differences and find that both slow passage of time and long distance judgements were associated with larger disturbances across all domains under study. These included temporal disruptions—the aptness to project oneself into the future, the sense of a rift between pre-pandemic and pandemic time, the ability to locate oneself in time, the capacity to recall the order of past events—, as well as an overall sense of social disorientation, and trauma-specific disturbances. In contrast, both fast passage of time and short distance judgements were associated with beneficial effects across all of the mentioned domains. Our results indicate that perceived passage of time and temporal distance judgements are key indicators of social and temporal disorientation. © 2022, The Author(s).",,Confusion; COVID-19; France; Humans; Judgment; Pandemics; confusion; decision making; epidemiology; France; human; pandemic,"RATP Group; Agence Nationale de la Recherche, ANR, (ANR-17-EURE-0017, RA-COVID-19 V11); Irish Research Council, (GOIPD/2021/570)",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85144636981
Tuen Y.J.; Bulley A.; Palombo D.J.; O'Connor B.B.,"Tuen, Young Ji (57226692105); Bulley, Adam (56287081000); Palombo, Daniela J. (35732198900); O'Connor, Brendan Bo (57659305200)",57226692105; 56287081000; 35732198900; 57659305200,Social value at a distance: Higher identification with all of humanity is associated with reduced social discounting,2023,Cognition,230,,105283,,,,11,10.1016/j.cognition.2022.105283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139290932&doi=10.1016%2fj.cognition.2022.105283&partnerID=40&md5=08255ffc0dd98240a5c5bf1b464d6f97,"How much we value the welfare of others has critical implications for the collective good. Yet, it is unclear what leads people to make more or less equal decisions about the welfare of those from whom they are socially distant. The current research sought to explore the psychological mechanisms that might underlie welfare judgements across social distance. Here, a social discounting paradigm was used to measure the tendency for the value of a reward to be discounted as the social distance of its recipient increased. Across two cohorts (one discovery, one replication), we found that a more expansive identity with all of humanity was associated with reduced social discounting. Additionally, we investigated the specificity of this association by examining whether this relationship extended to delay discounting, the tendency for the value of a reward to be discounted as the temporal distance to its receipt increases. Our findings suggest that the observed association with identity was unique to social discounting, thus underscoring a distinction in value-based decision-making processes across distances in time and across social networks. As data were collected during the COVID-19 pandemic, we also considered how stress associated with this global threat might influence welfare judgements across social distances. We found that, even after controlling for COVID-19 related stress, correlations between identity and social discounting held. Together, these findings elucidate the psychological processes that are associated with a more equal distribution of generosity. © 2022 Elsevier B.V.",Delay discounting; Equality; Identity; Morality; Social discounting,COVID-19; Humans; Judgment; Pandemics; Reward; Social Values; adult; aged; Article; beneficence; cohort analysis; coronavirus disease 2019; decision making; delay discounting; demographics; epidemiological surveillance; female; human; income; information processing; major clinical study; male; monetary reward; morality; pandemic; physiological stress; reward; social discounting; social distance; social interaction; social network; social value; United States; welfare; pandemic; social psychology,"John R. Evans Leaders Fund; Karolina Lempert; Social Sciences and Humanities Research Council of Canada, SSHRC; Canada Foundation for Innovation, CFI, (38817); Australian Research Council, ARC, (DP210101572); National Health and Medical Research Council, NHMRC, (APP1162811, GNT1162811)",Article,Final,,Scopus,2-s2.0-85139290932
Binny R.N.; Lustig A.; Hendy S.C.; Maclaren O.J.; Ridings K.M.; Vattiato G.; Plank M.J.,"Binny, Rachelle N. (56648035300); Lustig, Audrey (57219356200); Hendy, Shaun C. (6603876052); Maclaren, Oliver J. (49964076000); Ridings, Kannan M. (57207568146); Vattiato, Giorgia (57221395990); Plank, Michael J. (6603773075)",56648035300; 57219356200; 6603876052; 49964076000; 57207568146; 57221395990; 6603773075,Real-time estimation of the effective reproduction number of SARS-CoV-2 in Aotearoa New Zealand,2022,PeerJ,10,,e14119,,,,4,10.7717/peerj.14119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140583942&doi=10.7717%2fpeerj.14119&partnerID=40&md5=de220b64e19886c3d0acb6919138e454,"During an epidemic, real-time estimation of the effective reproduction number supports decision makers to introduce timely and effective public health measures. We estimate the time-varying effective reproduction number, Rt, during Aotearoa New Zealand’s August 2021 outbreak of the Delta variant of SARS-CoV-2, by fitting the publicly available EpiNow2 model to New Zealand case data. While we do not explicitly model non-pharmaceutical interventions or vaccination coverage, these two factors were the leading drivers of variation in transmission in this period and we describe how changes in these factors coincided with changes in Rt. Alert Level 4, New Zealand’s most stringent restriction setting which includes stay-at-home measures, was initially effective at reducing the median Rt to 0.6 (90% CrI 0.4, 0.8) on 29 August 2021. As New Zealand eased certain restrictions and switched from an elimination strategy to a suppression strategy, Rt subsequently increased to a median 1.3 (1.2, 1.4). Increasing vaccination coverage along with regional restrictions were eventually sufficient to reduce Rt below 1. The outbreak peaked at an estimated 198 (172, 229) new infected cases on 10 November, after which cases declined until January 2022. We continue to update Rt estimates in real time as new case data become available to inform New Zealand’s ongoing pandemic response. Copyright 2022 Binny et al.",Bayesian inference; COVID-19; Delta variant; Non-pharmaceutical interventions; Public health measures; Reproduction number; SARS-CoV-2,Bayesian networks; Cell proliferation; Decision making; Inference engines; Vaccines; Bayesian inference; Covid-19; Delta variant; Health measures; New zealand; Non-pharmaceutical interventions; Public health measure; Real-time estimation; Reproduction numbers; Sar-cov-2; Article; Bayes theorem; data base; effective reproduction number; epidemic; epinow2 model; government; growth; household; human; incidence; Monte Carlo method; New Zealand; pandemic; population size; public health; SARS-CoV-2 Alpha; SARS-CoV-2 Delta; SARS-CoV-2 Omicron; Severe acute respiratory syndrome coronavirus 2; statistical model; stay-at-home order; time perception; time series analysis; vaccination coverage; virus transmission; wastewater; Coronavirus,"NeSI; NeSI’s; Ministry of Health, MOH; New Zealand Government; Institute of Environmental Science and Research, ESR",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85140583942
Krawiec J.M.; Mizak S.; Tagliabue M.; Białaszek W.,"Krawiec, Jakub M. (57726416100); Mizak, Szymon (57224125002); Tagliabue, Marco (57211925892); Białaszek, Wojciech (35329131300)",57726416100; 57224125002; 57211925892; 35329131300,"Delay discounting of money and health outcomes, and adherence to policy guidelines during the COVID-19 pandemic",2022,Frontiers in Public Health,10,,953743,,,,3,10.3389/fpubh.2022.953743,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137462205&doi=10.3389%2ffpubh.2022.953743&partnerID=40&md5=caf337bb1ef7e68211689152594d38e1,"Delay discounting refers to the observation that the subjective value of an outcome decreases as the delay to its receipt increases. It is well-established that steep delay discounting is related to various maladaptive behaviors, including poorer health-related choices. One of the current challenges of public health policies that emerged during the COVID-19 pandemic is to encourage preventive behaviors against infectious diseases. In this study, we aimed to explore possible underpinnings of adherence to COVID-19 related public health policy guidelines such as disinfection, distancing, and masks (DDM). Participants completed monetary and health discounting tasks across two outcome amounts in gain and loss conditions, and they provided self-report measures of adherence to the DDM policy. Contrary to the theoretically plausible prediction that higher discounting rates would be negatively associated with adherence to health-related public policy guidelines, we found no compelling evidence to support such statement. We discuss the potential weaknesses of declarative measurements of attitudes toward COVID-19 and consider using behavioral interventions for influencing discounting rates for complementing and enhancing current policy guidelines. Copyright © 2022 Krawiec, Mizak, Tagliabue and Białaszek.",adherence; COVID-19; delay discounting; policy; preventive behaviors,,"SWPS University, (22/2022/FRBN/D)",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85137462205
Cannito L.; Anzani S.; Bortolotti A.; Di Domenico A.; Palumbo R.,"Cannito, Loreta (57209070231); Anzani, Stefano (57211711909); Bortolotti, Alessandro (57224408285); Di Domenico, Alberto (57210852950); Palumbo, Riccardo (36544470500)",57209070231; 57211711909; 57224408285; 57210852950; 36544470500,Face Mask Reduces the Effect of Proposer’s (Un)Trustworthiness on Intertemporal and Risky Choices,2022,Frontiers in Psychology,13,,926520,,,,8,10.3389/fpsyg.2022.926520,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133518051&doi=10.3389%2ffpsyg.2022.926520&partnerID=40&md5=ca7fd78f799a7dc7d3dc50d809808425,"Previous literature suggested that individuals increase temporal and risk discounting at the presence of a proposer whose face is perceived as untrustworthy, suggesting the activation of protective choice patterns. By the way, the COVID-19 pandemic has substantially transformed the way we interact with other people, even bringing us into situations where the face of the person making a proposal is not fully visible, because of the mask. With the current study, we aimed at verifying if the effect of proposer’s facial (un)trustworthiness on discounting behavior is modulated by mask wearing. In two different experiments, participants performed traditional delay and probability discounting tasks with masked proposers manipulated across trustworthiness levels. Results highlighted that, even after checking for subject-specific emotion recognition ability with masked faces, the presence of a masked untrustworthy proposer increases both delay and probability discounting parameters, although the effect is not statistically significant and smaller than the one detected at the presence of an untrustworthy proposer without a mask. These results suggest that the ability to perceive the proposer’s (un)trustworthiness is affected by the mask, with a consequent less strong effect of proposer’s (un)trustworthiness on choice behavior on both intertemporal and risky choices. Limits and possible implications are outlined and discussed. Copyright © 2022 Cannito, Anzani, Bortolotti, Di Domenico and Palumbo.",delay discounting; face mask; perceived trustworthiness; probability discounting; risk taking,,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85133518051
Menk L.; Schinko T.; Karabaczek V.; Hagen I.; Kienberger S.,"Menk, Linda (57217254095); Schinko, Thomas (36100692400); Karabaczek, Veronica (58026290200); Hagen, Isabel (57487171200); Kienberger, Stefan (15755760800)",57217254095; 36100692400; 58026290200; 57487171200; 15755760800,What's at stake? A human well-being based proposal for assessing risk of loss and damage from climate change,2022,Frontiers in Climate,4,,1032886,,,,5,10.3389/fclim.2022.1032886,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144567261&doi=10.3389%2ffclim.2022.1032886&partnerID=40&md5=c5fa225c3ef681ddf083a447098575a9,"Current scientific discourse on the assessment of loss and damage from climate change focuses primarily on what is straightforwardly quantifiable, such as monetary value, numbers of casualties, or destroyed homes. However, the range of possible harms induced by climate change is much broader, particularly as regards residual risks that occur beyond limits to adaptation. In international climate policy, this has been institutionalized within the Loss and Damage discourse, which emphasizes the importance of non-economic loss and damage (NELD). Nevertheless, NELDs are often neglected in loss and damage assessments, being intangible and difficult to quantify. As a consequence, to date, no systematic concept or indicator framework exists that integrates market-based and non-market-based loss and damage. In this perspective, we suggest assessing risk of loss and damage using a climate change risk and vulnerability assessment (CRVA) framework: the Impact Chain method. This highly adaptable method has proven successful in unraveling complex risks in socio-ecological systems through a combination of engaging (political) stakeholders and performing quantitative data analysis. We suggest expanding the framework's logic to include not only the sources but also the consequences of risk by conceptualizing loss and damage as harm to nine domains of human well-being. Our approach is consistent with the risk conceptualization by the Intergovernmental Panel on Climate Change (IPCC). Conceptualization and systematic assessment of the full spectrum of imminent loss and damage allows a more comprehensive anticipation of potential impacts on human well-being, identifying vulnerable groups and providing essential evidence for transformative and comprehensive climate risk management. Copyright © 2022 Menk, Schinko, Karabaczek, Hagen and Kienberger.",climate change; human well-being; indicators; loss and damage; NELD; risk assessment,,"Axis IT and T; Médecins Sans Frontières, MSF; Klima- und Energiefonds, (B960205); Klima- und Energiefonds; Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung; European Commission, EC; Österreichische Forschungsförderungsgesellschaft, FFG, (872000); Österreichische Forschungsförderungsgesellschaft, FFG; Christian Doppler Forschungsgesellschaft, CDG; Bundesministerium für Digitalisierung und Wirtschaftsstandort, BMDW",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85144567261
